property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,s apartment,gurukul,0.6,5952.0,2.0,2.0,1,7.0,Old Property,1186.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,s tower,gurukul,0.85,6250.0,2.0,2.0,1,7.0,Old Property,1600.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,"23.0446° N, 72.5249° E",23.0446,72.5249
house,on request,gurukul,0.7,11966.0,2.0,2.0,2,2.0,Old Property,585.0,1.0,0.0,1.0,1.0,0.0,2.0,179.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,parshwanath towers,gurukul,0.99,4950.0,4.0,3.0,0,8.0,Old Property,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,tata housing shubh griha,gurukul,0.23,3059.0,2.0,1.0,1,2.0,Old Property,885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,mangalkruti apartment gurukul,gurukul,0.45,5000.0,2.0,2.0,0,3.0,Old Property,1059.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,"23.0446° N, 72.5249° E",23.0446,72.5249
house,r r solution,gurukul,6.5,17735.0,4.0,4.0,2,2.0,Moderately Old,3665.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"23.0446° N, 72.5249° E",23.0446,72.5249
house,gopinath co. opretive society,gurukul,9.75,16539.0,5.0,5.0,1,2.0,Moderately Old,5895.0,1.0,1.0,1.0,1.0,0.0,1.0,180.0,"23.0446° N, 72.5249° E",23.0446,72.5249
house,independent,gurukul,3.0,3440.0,3.0,2.0,2,1.0,Old Property,8721.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,"23.0446° N, 72.5249° E",23.0446,72.5249
house,tarun nagar society phase 1,gurukul,2.6,15616.0,4.0,4.0,2,2.0,Relatively New,1665.0,1.0,0.0,1.0,1.0,0.0,2.0,65.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,parshwanath towers,gurukul,0.47,5384.0,2.0,2.0,0,4.0,Old Property,1027.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0,"23.0446° N, 72.5249° E",23.0446,72.5249
house,independent,gurukul,2.9,13426.0,3.0,2.0,0,1.0,Old Property,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,shree narayan exotica,gurukul,0.8,5887.0,2.0,2.0,1,5.0,Relatively New,1599.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,suryadeep tower,gurukul,1.0,5236.0,3.0,2.0,2,3.0,Moderately Old,1577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0446° N, 72.5249° E",23.0446,72.5249
house,sterling park society,gurukul,3.0,11111.0,1.0,2.0,0,0.0,Old Property,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,gurukul road,gurukul,0.65,7222.0,2.0,2.0,2,2.0,Old Property,1059.0,0.0,0.0,0.0,0.0,1.0,1.0,46.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,s apartment,gurukul,0.95,7037.0,3.0,3.0,1,4.0,Old Property,1350.0,0.0,0.0,1.0,0.0,0.0,1.0,40.0,"23.0446° N, 72.5249° E",23.0446,72.5249
house,abhiindependentdan swami society,gurukul,2.6,16049.0,5.0,3.0,3,2.0,Moderately Old,2700.0,1.0,0.0,1.0,1.0,0.0,1.0,156.0,"23.0446° N, 72.5249° E",23.0446,72.5249
house,bhaktinagar society,gurukul,1.85,12847.0,4.0,4.0,1,2.0,Old Property,1440.0,0.0,0.0,1.0,1.0,0.0,1.0,58.0,"23.0446° N, 72.5249° E",23.0446,72.5249
house,independent,gurukul,2.5,11574.0,2.0,2.0,0,1.0,Moderately Old,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,swagat tower,gurukul,2.0,4347.0,4.0,4.0,3+,9.0,Old Property,3510.0,1.0,0.0,0.0,1.0,0.0,0.0,58.0,"23.0446° N, 72.5249° E",23.0446,72.5249
flat,sunpower flat,gurukul,0.48,6349.0,2.0,2.0,0,3.0,Old Property,756.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,"23.0446° N, 72.5249° E",23.0446,72.5249
